date,<20,20s,30s,40s,50s,60s,70s,80s,90+
2020-02-25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-03-18,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-03-19,1.0,2,0.0,2.0,2.0,1.0,0.0,0.0,0.0
2020-03-20,1.0,2,0.0,2.0,3.0,2.0,1.0,0.0,0.0
2020-03-21,1.0,2,0.0,2.0,3.0,2.0,1.0,0.0,0.0
2020-03-22,1.0,2,0.0,4.0,4.0,3.0,1.0,0.0,0.0
2020-03-23,1.0,2,0.0,4.0,4.0,3.0,2.0,0.0,0.0
2020-03-24,1.0,3,0.0,4.0,4.0,4.0,3.0,1.0,0.0
